0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:39 +0000] "GET /medicare/resources/images/PRDFC21A95095.jpg HTTP/1.1" 200 8477
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:39 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:39 +0000] "GET /medicare/resources/images/PRDE25DC475DA.jpg HTTP/1.1" 200 199423
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:45 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11451
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:45 +0000] "GET /medicare/json/data/admin/all/products?_=1687570785213 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:55 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:55 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:39:55 +0000] "GET /medicare/json/data/admin/all/products?_=1687570795710 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:02 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:10 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:10 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:13 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:13 +0000] "GET /medicare/ HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:13 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:13 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:15 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7551
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:40:15 +0000] "GET /medicare/json/data/all/products?_=1687570815900 HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:41:33 +0000] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:42:28 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
